diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
El Universo,,Tiene 54 anos y su mayor sueno es terminar la escuela y el colegio. El primer paso es aprender a leer y a escribir. Por eso se inscribio en el programa 'Todos ...,educ,13 ene. 2018 -,"Los sabados, adultos mayores van a clases para concluir su ...",,los sabados adultos mayores van clases para concluir,tiene anos mayor sueno terminar escuela colegio primer paso aprender leer escribir por eso inscribio programa todos,sab adult mayor van clas par conclu,sabados adultos mayores van clases concluir,los sab adult mayor van clas par conclu,tien anos mayor suen termin escuel colegi prim pas aprend leer escrib inscribi program tod,anos mayor sueno terminar escuela colegio primer paso aprender leer escribir inscribio programa,tien anos mayor suen termin escuel colegi prim pas aprend leer escrib por eso inscribi program tod
El Universo,,"El ano escolar en la region Sierra-Amazonia se inicio este 1 de septiembre del 2015 con algunos cambios, por la aprobacion de las reformas a la Ley de ...",educ,1 sep. 2015 -,Para ser profesor en escuelas y colegios publicos en el Ecuador se ...,,para ser profesor escuelas colegios publicos ecuador,ano escolar region sierra amazonia inicio este septiembre del con algunos cambios por aprobacion las reformas ley,par ser profesor escuel colegi public,ser profesor escuelas colegios publicos,par ser profesor escuel colegi public ecuador,ano escol region sierr amazoni inici septiembr algun cambi aprobacion reform ley,ano escolar region sierra amazonia inicio septiembre cambios aprobacion reformas ley,ano escol region sierr amazoni inici este septiembr del con algun cambi por aprobacion las reform ley
,,"El rector de la Universidad de Guayaquil, Roberto Passailaigue, anuncio este viernes los nombres de los decanos y vicedecanos de 14 facultades que tiene la ...",educ,26 oct. 2018 -,La Universidad de Guayaquil tiene 14 nuevos decanos | Comunidad ...,,universidad guayaquil tiene nuevos decanos comunidad,rector universidad guayaquil roberto passailaigue anuncio este viernes los nombres los decanos vicedecanos facultades que tiene,univers tien nuev decan comun,universidad nuevos decanos comunidad,univers guayaquil tien nuev decan comun,rector univers robert passailaig anunci viern nombr decan vicedecan facultad tien,rector universidad roberto passailaigue anuncio viernes nombres decanos vicedecanos facultades,rector univers guayaquil robert passailaig anunci este viern los nombr los decan vicedecan facultad que tien
El Universo,, La Organizacion Mundial de la Salud (OMS) dice que el 80% de las muertes prematuras provocadas por enfermedades cardiovasculares pueden evitarse.,health,23 sep. 2018 -,Un corazon mas sano,,corazon mas sano,organizacion mundial salud oms dice que las muertes prematuras provocadas por enfermedades cardiovasculares pueden evitarse,corazon mas san,corazon mas sano,corazon mas san,organizacion mundial salud oms dic muert prematur provoc enfermedad pued evit,organizacion mundial salud oms dice muertes prematuras provocadas enfermedades pueden evitarse,organizacion mundial salud oms dic que las muert prematur provoc por enfermedad pued evit
El Universo,ecuador_eluniverso_20190814,Uniformado habia llegado a Quito para celebrar un matrimonio. Recibio punalada mortal. El policia identificado como Angelo Paillacho fue asesinado la noche del viernes...,crime,14 ag. 2019,Mataron a policia por robarle; hay 2 heridos,2019.0,mataron policia por robarle hay heridos,uniformado habia llegado quito para celebrar matrimonio recibio punalada mortal policia identificado como angelo paillacho fue asesinado noche del viernes,mat polici rob her,mataron policia robarle heridos,mat polici por rob hay her,uniform habi lleg quit par celebr matrimoni recibi punal mortal polici identific com angel paillach asesin noch viern,uniformado habia llegado celebrar matrimonio recibio punalada mortal policia identificado angelo paillacho asesinado noche viernes,uniform habi lleg quit par celebr matrimoni recibi punal mortal polici identific com angel paillach fue asesin noch del viern
La Hora (Ecuador),ecuador_lahora_2016_2,Ecuador recibio el respaldo de Francia para la firma del acuerdo comercial con la Union Europea (UE) este ano durante una reunion que mantuvieron en Paris ...,economi,15 Sep. 2016,Francia respalda acuerdo comercial entre Ecuador y la UE,2016.0,francia respalda acuerdo comercial entre ecuador,ecuador recibio respaldo francia para firma del acuerdo comercial con union europea este ano durante una reunion que mantuvieron paris,franci respald acuerd comercial,francia respalda acuerdo comercial,franci respald acuerd comercial entre ecuador,recibi respald franci par firm acuerd comercial union europe ano durant reunion mantuv paris,recibio respaldo francia firma acuerdo comercial union europea ano reunion mantuvieron paris,ecuador recibi respald franci par firm del acuerd comercial con union europe este ano durant una reunion que mantuv paris
El Comercio (Ecuador),ecuador_elcomercio_2017_62,"En el fondo de una quebrada, en la carretera Loja-Catamayo, fue encontrado la manana del martes, 19 de diciembre del 2017, el cadaver de Emilia, de nueve ...",crime,20 dic. 2017,Conmocion en Ecuador por la muerte de la pequena Emilia en Loja,2017.0,conmocion ecuador por muerte pequena emilia loja,fondo una quebrada carretera loja catamayo fue encontrado manana del martes diciembre del cadaver emilia nueve,conmocion muert pequen emili loj,conmocion muerte pequena emilia loja,conmocion ecuador por muert pequen emili loj,fond quebr carreter loj catamay encontr manan mart diciembr cadav emili nuev,fondo quebrada carretera loja catamayo encontrado manana martes diciembre cadaver emilia nueve,fond una quebr carreter loj catamay fue encontr manan del mart diciembr del cadav emili nuev
La Hora (Ecuador),ecuador_lahora_2018_112,"Un dia dedicado a la gastronomia y alimentos del Ecuador. DIC, 12 ... se oficializara el ""Dia de la Gastronomia, Productos y Alimentos Saludables del Ecuador"".",health,11 dic. 2018,Un dia dedicado a la gastronomia y alimentos del Ecuador,2018.0,dia dedicado gastronomia alimentos del ecuador,dia dedicado gastronomia alimentos del ecuador dic oficializara dia gastronomia productos alimentos saludables del ecuador,dia dedic gastronomi aliment,dia dedicado gastronomia alimentos,dia dedic gastronomi aliment del ecuador,dia dedic gastronomi aliment dic oficializ dia gastronomi product aliment salud,dia dedicado gastronomia alimentos dic oficializara dia gastronomia productos alimentos saludables,dia dedic gastronomi aliment del ecuador dic oficializ dia gastronomi product aliment salud del ecuador
El Universo,,"""La educacion es fundamental para construir sociedades pacificas y, sin embargo, para millones de ninos la escuela no es un lugar seguro"", sostiene la ...",educ,19 sep. 2018 -,?Cual es la nueva materia que estudiaran los alumnos de basica este ...,,cual nueva materia que estudiaran los alumnos basica este,educacion fundamental para construir sociedades pacificas sin embargo para millones ninos escuela lugar seguro sostiene,nuev materi estudi alumn basic,nueva materia estudiaran alumnos basica,cual nuev materi que estudi los alumn basic este,educacion fundamental par constru sociedad pacif embarg par millon nin escuel lug segur sostien,educacion fundamental construir sociedades pacificas embargo millones ninos escuela lugar seguro sostiene,educacion fundamental par constru sociedad pacif sin embarg par millon nin escuel lug segur sostien
El Comercio (Ecuador),ecuador_elcomercio_2017_38,"""Muy pronto se llevara a cabo el encuentro de los presidentes de Ecuador y Bolivia"", dijo en rueda de prensa el jefe de la diplomacia boliviana, que se ...",polit,11 Sep. 2017,"Presidentes de Ecuador y Bolivia se reuniran pronto, anuncian ministros",2017.0,presidentes ecuador bolivia reuniran pronto anuncian ministros,muy pronto llevara cabo encuentro los presidentes ecuador bolivia dijo rueda prensa jefe diplomacia boliviana que,president bolivi reunir pront anunci ministr,presidentes bolivia reuniran pronto anuncian ministros,president ecuador bolivi reunir pront anunci ministr,pront llev cab encuentr president bolivi dij rued prens jef diplomaci bolivian,pronto llevara cabo encuentro presidentes bolivia dijo rueda prensa jefe diplomacia boliviana,muy pront llev cab encuentr los president ecuador bolivi dij rued prens jef diplomaci bolivian que
El Comercio (Ecuador),ecuador_elcomercio_2017_104,"Estos litigios internacionales se fundamentan en los convenios bilaterales de inversion firmados por Ecuador desde la decada de los 80, especialmente con ...",polit,9 Feb. 2017,Ecuador tiene 12 arbitrajes abiertos en el exterior,2017.0,ecuador tiene arbitrajes abiertos exterior,estos litigios internacionales fundamentan los convenios bilaterales inversion firmados por ecuador desde decada los especialmente con,tien arbitraj abiert exterior,arbitrajes abiertos exterior,ecuador tien arbitraj abiert exterior,litigi internacional fundament conveni bilateral inversion firm desd dec especial,litigios internacionales fundamentan convenios bilaterales inversion firmados decada especialmente,estos litigi internacional fundament los conveni bilateral inversion firm por ecuador desd dec los especial con
El Universo,ecuador_eluniverso_20190814,Dos sujetos a bordo de una moto lanzaron un artefacto explosivo al auto en el que se movilizaba un abogado.,crime,14 ag. 2019,"Atentado en contra de jurista, en El Oro",2019.0,atentado contra jurista oro,dos sujetos bordo una moto lanzaron artefacto explosivo auto que movilizaba abogado,atent contr jurist oro,atentado jurista oro,atent contr jurist oro,dos sujet bord mot lanz artefact explos aut moviliz abog,dos sujetos bordo moto lanzaron artefacto explosivo auto movilizaba abogado,dos sujet bord una mot lanz artefact explos aut que moviliz abog
La Hora (Ecuador),ecuador_lahora_2017_64,El tecnico Gustavo Quinteros tiene una tarea dificil para elegir el equipo titular de Ecuador para medir a Brasil el jueves en Porto Alegre por las Eliminatorias ...,sport,28 ago. 2017,Seleccion de Ecuador se completa en Porto Alegre,2017.0,seleccion ecuador completa porto alegre,tecnico gustavo quinteros tiene una tarea dificil para elegir equipo titular ecuador para medir brasil jueves porto alegre por las eliminatorias,seleccion complet port alegr,seleccion completa porto alegre,seleccion ecuador complet port alegr,tecnic gustav quinter tien tare dificil par eleg equip titul par med brasil juev port alegr eliminatori,tecnico gustavo quinteros tarea dificil elegir equipo titular medir brasil jueves porto alegre eliminatorias,tecnic gustav quinter tien una tare dificil par eleg equip titul ecuador par med brasil juev port alegr por las eliminatori
El Universo,,"""Diganles a sus mamis y papis que ellos no pueden quedarse en la escuela. Aqui las sorpresas son solo para los ninos"", sera el pedido. Eso cuenta Marcia ...",educ,3 oct. 2016 -,"131 757 ninos de 3 y 4 anos, a clases en la escuela fiscal",,ninos anos clases escuela fiscal,diganles sus mamis papis que ellos pueden quedarse escuela aqui las sorpresas son solo para los ninos sera pedido eso cuenta marcia,nin anos clas escuel fiscal,ninos anos clases escuela fiscal,nin anos clas escuel fiscal,diganl mamis papis pued qued escuel aqui sorpres sol par nin ser ped cuent marci,diganles mamis papis pueden quedarse escuela aqui sorpresas solo ninos sera pedido cuenta marcia,diganl sus mamis papis que ellos pued qued escuel aqui las sorpres son sol par los nin ser ped eso cuent marci
El Comercio,ecuador_elcomercio_2015_53,El ATP 250 Ecuador Open Quito tambien tiene la marca pais. La leyenda All you need is Ecuador se puede leer en las cuatro canchas oficiales donde se ...,sport,2 Feb. 2015,El ATP 250 es un evento All you need Ecuador,2015.0,atp evento all you need ecuador,atp ecuador open quito tambien tiene marca pais leyenda all you need ecuador puede leer las cuatro canchas oficiales donde,atp event all you need,atp evento all you need,atp event all you need ecuador,atp open quit tambi tien marc pais leyend all you need pued leer cuatr canch oficial dond,atp open tambien marca pais leyenda all you need puede leer cuatro canchas oficiales,atp ecuador open quit tambi tien marc pais leyend all you need ecuador pued leer las cuatr canch oficial dond
